# This file was exported by Greenbyte at 2022-01-27 22:17:22. Please see https://www.greenbyte.com for more information about Greenbyte.
#
# Turbine: Kelmarsh 1
# Turbine type: Senvion MM92 (Senvion MM92 kW)
# Time zone: UTC
# Time interval: 2021-01-01 00:00:00 - 2021-07-01 00:00:00 (181 days)
#
# Kelmarsh 1 Sum production: 2514534 kWh
#
Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category
2020-12-31 04:43:55,2021-01-01 16:46:58,36:03:03,Stop,6540,Icing (anemometer),,External stop (climate) (6),Out of Environmental Specification
2020-12-31 08:59:28,2021-01-01 16:46:58,31:47:30,Informational,6542,Reset of icing st. cd. possible,,System OK (32),Full Performance
2021-01-01 09:47:52,2021-01-01 10:13:58,00:26:06,Communication,9997,Data communication unavailable,,,
2021-01-01 16:46:58,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-01 16:46:58,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-01 16:46:58,2021-01-01 16:51:38,00:04:40,Informational,0,System OK,,System OK (32),Full Performance
2021-01-01 16:49:01,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-01 16:51:25,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-01 16:51:35,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-01 16:51:38,2021-01-01 17:03:33,00:11:55,Informational,1552,Gearbox warm-up stage,,Operating states  (28),Full Performance
2021-01-01 16:51:38,2021-01-01 17:03:33,00:11:55,Informational,1552,Gearbox warm-up stage,,Operating states  (28),Full Performance
2021-01-01 16:51:53,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-01 17:03:33,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-01 17:03:33,2021-01-01 17:03:59,00:00:26,Informational,0,System OK,,System OK (32),Full Performance
2021-01-01 17:03:59,2021-01-01 17:04:57,00:00:58,Informational,1552,Gearbox warm-up stage,,Operating states  (28),Full Performance
2021-01-01 17:03:59,2021-01-01 17:04:57,00:00:58,Informational,1552,Gearbox warm-up stage,,Operating states  (28),Full Performance
2021-01-01 17:04:57,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-01 17:04:57,2021-01-01 17:05:48,00:00:51,Informational,0,System OK,,System OK (32),Full Performance
2021-01-01 17:05:48,2021-01-01 17:06:16,00:00:28,Informational,1552,Gearbox warm-up stage,,Operating states  (28),Full Performance
2021-01-01 17:05:48,2021-01-01 17:06:16,00:00:28,Informational,1552,Gearbox warm-up stage,,Operating states  (28),Full Performance
2021-01-01 17:06:16,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-01 17:06:16,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-02 09:10:18,2021-01-02 09:12:36,00:02:18,Stop,710,Battery test,,Operating states  (28),Technical Standby
2021-01-02 09:10:18,-,-,Informational,100030,Brake program 180,,,Technical Standby
2021-01-02 09:12:36,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-02 09:12:36,-,-,Informational,100110,Bypass limit switches,,,Full Performance
2021-01-02 09:12:41,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-02 09:15:12,-,-,Informational,100140,System test 1,,,Technical Standby
2021-01-02 09:15:20,-,-,Informational,100150,System test 2,,,Technical Standby
2021-01-02 09:15:35,-,-,Informational,100160,System test 3,,,Technical Standby
2021-01-02 09:15:50,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-02 09:18:31,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-02 09:18:41,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-02 09:19:11,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-02 14:07:15,2021-01-02 14:08:03,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-02 14:07:15,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-02 14:07:16,2021-01-02 14:17:17,00:10:01,Stop,5760,Hydraulic oil flushing operation,,Operating states  (28),Technical Standby
2021-01-02 14:07:16,-,-,Informational,100060,Brake program 52,,,Full Performance
2021-01-02 14:17:17,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-02 14:17:17,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-02 14:40:24,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-02 14:44:27,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-02 14:44:38,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-02 14:45:08,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-02 15:44:07,2021-01-02 15:44:54,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-02 15:44:07,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-02 15:44:54,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-02 15:44:54,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-02 16:36:39,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-02 16:38:01,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-02 16:38:11,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-02 16:38:41,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-03 22:20:51,2021-01-03 23:34:02,01:13:11,Communication,9997,Data communication unavailable,,,
2021-01-06 23:04:03,2021-01-06 23:04:50,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-06 23:04:03,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-06 23:04:50,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-06 23:04:50,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-06 23:12:56,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-06 23:14:38,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-06 23:14:49,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-06 23:15:19,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 01:43:02,2021-01-07 01:43:50,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 01:43:02,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 01:43:50,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 01:43:50,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 01:52:03,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 01:53:47,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 01:53:57,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 01:54:27,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 02:25:03,2021-01-07 02:25:51,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 02:25:03,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 02:25:51,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 02:25:51,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 03:16:09,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 03:18:07,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 03:18:18,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 03:18:48,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 13:51:03,2021-01-07 13:51:51,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 13:51:03,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 13:51:51,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 13:51:51,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 13:58:00,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 13:59:32,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 13:59:42,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 14:00:12,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 14:26:00,2021-01-07 14:26:48,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 14:26:00,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 14:26:48,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 14:26:48,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 14:31:54,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 14:33:30,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 14:33:40,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 14:34:10,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 15:34:41,2021-01-07 15:35:29,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 15:34:41,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 15:35:29,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 15:35:29,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 15:38:37,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 15:40:10,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 15:40:21,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 15:40:51,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 15:53:54,2021-01-07 15:54:42,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 15:53:54,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 15:54:42,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 15:54:42,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 16:09:31,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 16:11:42,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 16:11:53,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 16:12:23,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 16:30:59,2021-01-07 16:31:47,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 16:30:59,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 16:31:47,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 16:31:47,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 16:38:49,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 16:41:05,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 16:41:15,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 16:41:45,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 17:34:27,2021-01-07 17:35:15,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 17:34:27,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 17:35:15,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 17:35:15,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 17:41:01,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 17:43:54,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 17:44:05,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 17:44:35,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 17:47:30,2021-01-07 17:48:17,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 17:47:30,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 17:48:17,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 17:48:17,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 17:53:33,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 17:55:12,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 17:55:23,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 17:55:53,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-08 03:27:37,2021-01-08 03:28:25,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-08 03:27:37,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-08 03:28:25,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-08 03:28:25,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-08 05:18:33,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-08 05:20:33,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-08 05:20:44,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-08 05:21:14,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-08 05:39:56,2021-01-08 05:40:44,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-08 05:39:56,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
